Postcode,Index_of_Multiple_Deprivation_Decile,Health_and_Disability_Decile,IDACI_Decile,IDAOPI_Decile
AL1 1UE,9,10,10,9
AL1 2JX,4,6,3,2
AL1 3BP,9,10,7,5
AL1 3RY,9,10,8,7
AL1 3TH,5,6,8,4
AL1 3XW,9,10,10,7
AL1 4HA,10,10,10,10
AL1 4UB,10,10,10,10
AL1 5BX,7,10,5,7
AL1 5DX,9,10,8,7
AL1 5HT,7,6,6,3
AL1 5LL,10,10,7,10
AL1 5NW,10,10,7,10
AL1 5SZ,6,8,4,7
AL10 8HL,5,7,3,6
AL10 8SR,4,4,4,3
AL10 9FL,9,9,6,9
AL2 1JU,9,9,7,9
AL2 2RB,7,8,5,4
AL3 4HG,10,10,10,10
AL3 4TQ,10,10,10,10
AL3 5HN,10,10,10,10
AL3 5QA,9,10,9,5
AL3 5TG,9,10,9,5
AL3 5TU,3,6,2,4
AL3 7EU,9,10,10,10
AL3 7JF,6,8,4,4
AL3 7PN,9,10,10,10
AL3 7RQ,5,9,5,10
AL3 8PW,8,9,6,5
AL3 8RD,8,9,6,5
AL4 0GS,8,9,7,6
AL4 0UW,10,9,10,9
AL4 8RL,9,10,10,10
AL4 9HT,10,10,7,10
AL4 9QB,10,10,10,10
AL4 9RN,10,10,10,10
AL4 9UN,10,10,9,10
AL5 1AQ,10,10,10,10
AL5 1BQ,10,10,7,8
AL5 2JU,10,10,10,10
AL5 3AN,10,10,10,10
AL5 4AR,10,10,10,10
AL5 4RD,10,10,10,9
AL5 5LT,10,10,10,10
AL5 5LZ,10,10,10,10
AL5 5ST,10,10,10,10
AL5 5TF,10,10,10,10
AL5 5UD,10,10,10,10
AL6 0RN,10,10,10,10
AL7 1HN,6,7,6,6
AL7 1NZ,4,3,5,4
AL7 2AZ,6,4,5,4
AL7 2DW,6,7,3,8
AL7 3DB,6,7,6,6
AL7 3EP,7,7,5,6
AL7 3NH,3,3,2,2
AL7 3XE,3,5,3,4
AL7 4BP,5,6,5,3
AL7 4DF,6,7,3,6
AL7 4JQ,9,9,5,8
AL7 4TU,6,7,3,6
AL8 6TE,8,8,5,5
AL9 5BY,4,6,2,8
B1 1LA,4,4,8,7
B1 1LJ,1,1,3,1
B1 1UJ,1,1,3,1
B1 2RT,5,4,6,2
B10 0HY,1,2,2,1
B10 0JZ,1,1,2,1
B10 9AE,1,2,2,1
B10 9BD,2,3,2,1
B10 9DJ,1,3,3,1
B10 9DN,1,3,3,1
B10 9EU,1,2,2,1
B10 9HU,2,3,2,1
B10 9HY,2,3,2,1
B10 9NN,1,2,3,1
B10 9PG,1,3,2,1
B10 9RE,1,2,3,1
B10 9TA,1,3,3,1
B11 1HH,1,1,1,1
B11 1LJ,1,1,1,1
B11 1NL,1,1,1,1
B11 1QD,1,2,1,1
B11 2QJ,1,3,1,1
B11 3AX,2,4,2,1
B11 3JT,2,4,2,1
B11 3LQ,2,5,2,1
B11 3LU,1,3,2,1
B11 3PB,1,2,2,2
B11 3PQ,2,3,2,1
B11 3RJ,2,3,2,1
B11 3SA,2,3,2,1
B11 3SJ,1,3,2,1
B11 4AG,1,2,2,1
B11 4AT,2,5,2,1
B11 4DT,2,3,2,1
B11 4EU,2,4,2,1
B11 4EY,1,3,2,1
B11 4HN,2,4,2,1
B11 4LS,1,3,2,1
B11 4PP,1,2,1,1
B12 0EN,1,1,1,1
B12 0XY,1,1,1,1
B12 0XZ,1,1,1,1
B12 8NG,1,2,1,1
B12 8RB,1,1,1,1
B12 8SS,1,2,1,1
B12 8UZ,1,2,1,1
B12 9LQ,1,2,1,1
B12 9PX,1,1,2,1
B12 9RA,1,2,1,1
B13 0DW,3,3,2,4
B13 0EH,5,4,5,5
B13 0EX,1,1,2,2
B13 0NH,1,1,2,2
B13 0TU,1,1,1,1
B13 8QX,4,6,6,5
B13 9HH,2,1,4,1
B13 9NH,3,3,4,3
B13 9YD,3,5,4,4
B14 5HD,1,2,1,2
B14 5LX,1,2,1,2
B14 6AD,5,4,7,5
B14 6JQ,4,4,3,6
B14 6QZ,1,1,1,2
B14 6TP,1,1,1,1
B14 7AE,3,2,5,1
B14 7LP,4,4,5,4
B14 7NH,2,2,2,3
B14 7QE,5,4,7,5
B14 7QN,3,2,5,1
B15 2HG,1,1,1,1
B15 2JN,4,6,4,8
B15 2PH,3,3,4,3
B15 2SS,3,3,4,3
B15 2UN,7,9,9,8
B15 3JX,6,5,7,5
B15 3LL,9,7,9,10
B15 3NG,7,8,8,8
B15 3QJ,7,8,8,8
B15 3SA,7,8,10,10
B16 0AH,1,2,1,1
B16 0DL,1,2,1,1
B16 0HN,1,2,3,1
B16 0NA,3,4,2,1
B16 0QE,4,5,5,3
B16 8DP,1,1,1,1
B16 8FN,4,4,2,2
B16 8LT,3,2,6,2
B16 8RT,1,1,1,1
B16 9DR,2,2,2,1
